rank,uid,username,type
1,5729200,畏光゛,提督
2,3493294526958393,萝宝宝の月月,舰长
3,11965818,喜欢玉玉的面包片同学,舰长
4,249594967,鬼混少女小福狸,舰长
5,34157994,爱学习的萌新白面包,舰长
6,367346953,洛天启I黑星,舰长
7,36132907,猫鳄霸,舰长
8,519274401,爱面包的幸运鹅,舰长
9,677668473,萝哥の现亦,舰长
10,11933095,靑鋆子,舰长
11,290798377,萝宝の树叶,舰长
12,452182553,一条咸化鲨鱼,舰长
13,16174561,凯哥的小菊,舰长
14,509846987,枫浅沐熙,舰长
15,437490940,养马糕手-,舰长
16,60461156,-我-永远喜欢爱莉希雅,舰长
17,484156,欧卡尼亚,舰长
18,164870864,萝宝の橙子,舰长
19,1942864208,卡萝尔Akuma,舰长
20,13313146,御坂スティーブ,舰长
21,264489711,北极星夜,舰长
22,189598054,i珂i,舰长
23,573508245,鸢华ankou,舰长
24,3546383783037041,浮华于世的冒险人,舰长
25,402132384,辰亦辰时,舰长
26,3546393505433751,爱情是糖捏,舰长
27,1695619600,阳气四射,舰长
28,591355861,小小空洞骑士,舰长
29,4738109,绯樱_-,舰长
30,667808281,萝宝的杨逸,舰长
31,392082420,V圈守墓人-逆风21314号,舰长
32,507853569,夜浩ya,舰长
33,3546669796821037,不是内个秋,舰长
34,176575959,账号以主削,舰长
35,141675125,卧继而榜影,舰长
36,6202660,郁闷的往人,舰长
37,30683849,风凌碧落,舰长
38,416014101,肥灵魅,舰长
39,3546715697187565,龙之梦迷,舰长
40,233645397,苏轩然,舰长
41,234375419,淡漠凌,舰长
42,382077324,丶汐彡,舰长
43,32957306,monky_kon,舰长
44,646537865,小野_momokoo,舰长
45,3546859840735837,铑宫拟莱辣,舰长
46,1440754874,不知所措的小jo,舰长
47,1267552369,芙宁娜大人的身后灵,舰长
48,286390300,浅夏诗韵M,舰长
